ID	Species	ncRNA	ncRNA type	Environmental factor (EF)	Phenotype	Sample	Condition of EF	Evidence	PubMed ID
28	Mouse	circDLGAP4	circRNA	"1-methyl-4-phenyl-1,2,3,6-tetrahydropyridine (MPTP)"	parkinson's disease (PD)	midbrain tissues	"1-methyl-4-phenyl-1,2,3,6- tetrahydropyridine (MPTP) treatment"	circDLGAP4 expression was decreased in MPTP-induced PD mouse model.	31761328
29	Mouse	circDYM	circRNA	chronic unpredictable mild stress (CUMS)	depression	plasma and hippocampus	chronic unpredictable stress (CUS) treatment	downregulated	30413800
30	Mouse	circDYM	circRNA	lipopolysaccharide (LPS)	depression	plasma and hippocampus	lipopolysaccharide (LPS) treatment	downregulated	30413800
31	Mouse	circDYM	circRNA	chronic unpredictable stress (CUMS) and lipopolysaccharide (LPS)	major depressive disorder (MDD)	plasma; hippocampus	chronic unpredictable stress (CUS) and lipopolysaccharide (LPS) treatment	downregulated	30413800
32	Mouse	circEhmt1	circRNA	hypoxia	diabetic retinopathy (DR)	endotheliocytes	hypoxia treatment	We also found that hypoxia upregulated circEhmt1 expression in pericytes	33815662
33	Mouse	circELF2	circRNA	carbon tetrachloride (CCl4)	liver fibrosis	hepatic stellate cells (HSCs)	carbon tetrachloride (CCl4) treatment	downregulated	32308754
34	Mouse	circEPRS	circRNA	carbon tetrachloride (CCl4)	liver fibrosis	hepatic stellate cells (HSCs)	carbon tetrachloride (CCl4) treatment	downregulated	32308754
35	Mouse	circFBXW4	circRNA	carbon tetrachloride (CCl4)	liver fibrosis	hepatic stellate cells (HSCs)	carbon tetrachloride (CCl4) treatment	downregulated	32308754
36	Mouse	circFBXW4	circRNA	carbon tetrachloride (CCl4)	liver fibrosis	hepatic stellate cells (HSCs)	carbon tetrachloride (CCl4) treatment	upregulated	32308754
37	Mouse	circFoxO3	circRNA	glutamate	neurodegenerative diseases	HT22 cells	glutamate treatment	Silencing of circFoxO3 Protects HT22 Cells from Glutamate-Induced Oxidative Injury via Regulating the Mitochondrial Apoptosis Pathway	32140899
38	Mouse	circHECTD1	circRNA	oxygen-glucose deprivation and reoxygenation (OGD/R)	cerebral infarction (CI)	HT22 cells	oxygen-glucose deprivation and reoxygenation (OGD/R) treatment	"Circ_HECTD1 and FSTL1 were highly expressed, and miR-27a-3p was decreased in OGD/R-treated HT22 cells"	33843447
39	Mouse	circHECTD1	circRNA	oxygen glucose deprivation (OGD)	cerebral ischemia/reperfusion (I/R) injury	HT22 cells	oxygen-glucose deprivation (OGD) treatment	"Circ_HECTD1 knockdown inhibited the expression of TRAF3 by targeting miR-133b, thereby attenuating neuronal injury caused by cerebral ischemia"	33148417
40	Mouse	circHECTD1	circRNA	oxygen-glucose deprivation and reoxygenation (OGD/R)	cerebral ischemia/reperfusion (I/R) injury	HT22 cells	oxygen-glucose deprivation and reoxygenation (OGD/R) treatment	"The results showed that the expression of circ-HECTD1 and tumor necrosis factor receptor-associated factor 3 (TRAF3) was remarkably upregulated, while miR-133b was downregulated in oxygen-glucose deprivation (OGD)-induced HT22 cells and mouse middle cerebral artery occlusion (MCAO) model circ-HECTD1 knockdown relieved OGD-caused neuronal cell death in vitro Simultaneously, circ-HECTD1 knockdown improved cerebral infarction volume and neuronal apoptosis in MCAO mice"	33148417
41	Mouse	circHECTD1	circRNA	silicon dioxide (SiO2)	macrophage activation	RAW264.7 macrophage cell line	silicon dioxide (SiO2) treatment	downregulated	29290828
42	Mouse	circHECTD1	circRNA	silicon dioxide (SiO2)	lung fibrosis	mouse endothelial cell line (MML1)	silicon dioxide (SiO2) treatment	SiO 2 concomitantly increased circHECTD1 expression	29540674
43	Mouse	circHIPK3	circRNA	ovalbumin (OVA)	allergic rhinitis (AR)	CD4+ Th2 cells	ovalbumin induction	upregulated	32242002
44	Mouse	circHIPK3	circRNA	angiotensin II (Ang II)	cardiac fibrosis	cardiac fibroblasts (CFs)	angiotensin II (Ang II) treatment	"circ_HIPK3 expression markedly increased in CFs and heart tissues after the treatment of Ang II. Circ_HIPK3 silencing attenuates CFs proliferation, migration and the upregulation of a-SMA expression levels induced by Ang II in vitro"	30967276
45	Mouse	circHIPK3	circRNA	adrenaline	heart failure (HF)	Primary NMCMs (neonatal mouse cardiomyocytes)	adrenaline treatment	upregulated	31595165
46	Mouse	circHIPK3	circRNA	lipopolysaccharide (LPS)	myocardial dysfunction	myocardial tissues; H9c2 cells	lipopolysaccharide (LPS) treatment	circHIPK3 expression is significantly upregulated when exposed to LPS in vivo and in vitro.	33240996
47	Mouse	circHIPK3	circRNA	H2O2	myocardial infarction (MI)	cardiac endothelial cells	H2O2 treatment	downregulated	32733638
48	Mouse	circHIPK3	circRNA	ischemia/reperfusion (I/R) 	myocardial ischemia/reperfusion (I/R) injury (MIRI)	mouse cardiomyocytes	ischemia/reperfusion (I/R) treatment	The expression of circHIPK3 was upregulated during myocardial I/R injury and hypoxia/reoxygenation (H/R) injury of cardiomyocytes.	33824287
49	Mouse	circHIPK3	circRNA	hypoxia	oxidative stress	Primary cultures of neonatal mouse cardiomyocytes	hypoxia induce	upregulated	31885817
50	Mouse	circHIPK3	circRNA	bleomycin (BLM)	lung fibrosis	fibroblast	bleomycin (BLM) treatment	upregulated	30796204
51	Mouse	circHomer1	circRNA	methamphetamine (METH)	neuronal cell injury	HT22 cells	Methamphetamine (METH) treatment	upregulated	32450188
52	Mouse	circIns2	circRNA	palmitate and glucose	¦Â-cell dysfunction	¦ÂTC6 cells	palmitate and glucose treatment	upregulated	32560282
53	Mouse	circKrt13	circRNA	Sheng-ji Hua-yu (SJHY) formula	diabetic foot ulcer (DFU)	skin tissues	Sheng-ji Hua-yu (SJHY) treatment	downregulated	33271241
54	Mouse	circKrt13	circRNA	Sheng-ji Hua-yu (SJHY) formula	diabetic foot ulcer (DFU)	ulceration surface	sheng-ji Hua-yu (SJHY) formula treatment	"RNA-seq identified 11 DE circRNAs and 476 DE mRNAs between SJHY formula-treated and diabetic mice, including 4 upregulated and 7 downregulated circRNAs, 311 upregulated and 165 downregulated mRNAs CircRNA-Krt13/miR-665-3p/Itga3 and circRNA-Krt14/miR-706/Mylk4 pathways were built, which may contribute to the healing of SJHY formula-treated diabetic wounds"	33271241
55	Mouse	circKrt14	circRNA	Sheng-ji Hua-yu (SJHY) formula	diabetic foot ulcer (DFU)	skin tissues	Sheng-ji Hua-yu (SJHY) treatment	downregulated	33271241
56	Mouse	circKrt14	circRNA	sheng-ji Hua-yu (SJHY) formula	diabetic foot ulcer (DFU)	ulceration surface	sheng-ji Hua-yu (SJHY) formula treatment	"RNA-seq identified 11 DE circRNAs and 476 DE mRNAs between SJHY formula-treated and diabetic mice, including 4 upregulated and 7 downregulated circRNAs, 311 upregulated and 165 downregulated mRNAs CircRNA-Krt13/miR-665-3p/Itga3 and circRNA-Krt14/miR-706/Mylk4 pathways were built, which may contribute to the healing of SJHY formula-treated diabetic wounds"	33271241
57	Mouse	circLRP6	circRNA	high glucose (HG)	diabetic nephropathy (DN)	The mouse mesangial SV40©\Mes13 cells	"SV40©\Mes13 cells were cultured under normal glucose condition (Con, 5.5 mM glucose), mannitol condition (MN, 5.5 mM glucose + 24.5 mM mannitol), or HG condition (30 mM glucose) for 24 hr. treatment"	"circLRP6 regulates HG©\induced proliferation, oxidative stress, ECM accumulation, and inflammation in mesangial cells via sponging miR©\205"	31087368
58	Mouse	circMapk1	circRNA	bisphenol A (BPA)	apoptosis	?GC-2 cells	bisphenol A (BPA) treatment	upregulated	31020848
59	Mouse	circMpp6	circRNA	bisphenol A (BPA)	apoptosis	?GC-2 cells	bisphenol A (BPA) treatment	upregulated	31020848
60	Mouse	circNFIB	circRNA	TGF-¦Â	cardiac fibrosis	primary adult cardiac fibroblasts	TGF-¦Â treatment	"The expression of circRNA-circNFIB was decreased in mice post-myocardial infarction heart samples, as well as in primary adult cardiac fibroblasts treated with TGF-¦Â Overexpression of circNFIB attenuates cardiac fibroblast proliferation induced by TGF-¦Â"	31316543
61	Mouse	circPAN3	circRNA	ischemia/reperfusion (I/R) 	myocardial ischemia/reperfusion (I/R) injury (MIRI)	mouse cardiomyocytes	ischemia/reperfusion (I/R) treatment	"?In this study, we found that the expression of circPAN3 (circular RNA PAN3) was decreased in a mouse model of myocardial I/R."	33483599
62	Mouse	circPostn	circRNA	hypoxia/reoxygenation (H/R)	myocardial infarction (MI)	mouse cardiomyocytes	hypoxia and reoxygenation (H/R) treatment	"We identified that the expression of circPostn was elevated in the plasma of MI patients, MI mouse model, and hypoxia and reoxygenation (H/R)-treated human cardiomyocytes."	33681183
63	Mouse	circPPM1F	circRNA	lipopolysaccharide (LPS)	pancreatic islet injury	M1 macrophage	Lipopolysaccharide (LPS) treatment	circPPM1F is a novel positive regulator of M1 macrophage activation through the circPPM1F-HuR-PPM1F-NF-¦ÊB axis.	33042261
64	Mouse	circPSD3	circRNA	carbon tetrachloride (CCl4)	liver fibrosis	hepatic stellate cells (HSCs)	carbon tetrachloride (CCl4) treatment	"For instance, the expression of circPSD3, a circRNA derived from the Pleckstrin and Sec7 domain-containing 3 (PSD3) gene, was considerably downregulated in primary hepatic stellate cells (HSCs) and liver tissues of mice with CCl4-induced HF compared to those in the vehicle group."	33614234
65	Mouse	circPtchd2	circRNA	prenatal alcohol exposure (PAE)	fetal alcohol spectrum disorders (FASD)	brain	prenatal alcohol exposure (PAE) treatment	upregulated	33304235
66	Mouse	circRar1	circRNA	lead (Pb)	lead (Pb) toxicity	mouse neuroblastoma N2a cells	PbAc treatment	upregulated	27604105
67	Mouse	circRasGEF1B	circRNA	lipopolysaccharide (LPS)	inflammation	RAW264.7 cells	lipopolysaccharide (LPS) treatment	upregulated	28947785
68	Mouse	circRIC3	circRNA	melatonin	calcific aortic valve disease (CAVD)	valvular interstitial cells	melatonin treatment	melatonin ameliorates aortic valve calcification via the regulation of CircRIC3/miR-204-5p/DPP4 signaling in hVICs	32369647
69	Mouse	circRIMS2	circRNA	aerobic exercise	vascular cognitive impairment (VCI)	HT22 cells	aerobic exercise training (AET) treatment	"Aerobic exercise could shorten the average time that mice reached the platform in the Morris water maze, increase the expression level of circRIMS2 and BDNF, reduce miR-186 expression, and inhibit neuronal apoptosis."	33413076
70	Mouse	circRPRD1b	circRNA	carbon tetrachloride (CCl4)	liver fibrosis	hepatic stellate cells (HSCs)	carbon tetrachloride (CCl4) treatment	downregulated	32308754
71	Mouse	circRtn4	circRNA	tumor necrosis factor alpha (TNF-¦Á) 	osteoporosis	MC3T3-E1 cells	tumor necrosis factor alpha (TNF-¦Á) treatment	Rtn4-Exos attenuated TNF-¦Á-induced cytotoxicity and apoptosis in murine MC3T3-E1 cells by sponging miR-146a	32400849
72	Mouse	circS-7	circRNA	hypoxia	myocardial infarction (MI)	cardiomyocytes	hypoxia treatment	upregulated	26998750
73	Mouse	circSAMD4A	circRNA	high fat diet (HFD)	obesity	preadipocyte	high fat diet (HFD) feed	"CircSAMD4A regulated preadipocyte differentiation by acting as a miR-138-5p sponge, and thus increasing EZH2 expression."	32292524
74	Mouse	circSHOC2	circRNA	oxygen glucose deprivation (OGD)	ischemic stroke (IS)	primary astrocytes	oxygen glucose deprivation (OGD) treatment	circSHOC2 in IPAS-EXOs suppressed neuronal apoptosis and ameliorated neuronal damage by regulating autophagy and acting on the miR-7670-3p/SIRT1 axis	33230464
75	Mouse	circSOS1	circRNA	carbon tetrachloride (CCl4)	liver fibrosis	hepatic stellate cells (HSCs)	carbon tetrachloride (CCl4) treatment	downregulated	32308754
76	Mouse	circTADA2A	circRNA	bleomycin (BLM)	idiopathic pulmonary fibrosis (IPF)	lung tissues	bleomycin (BLM) treatment	circTADA2A repressed lung-fibroblasts activation via miR-526b/Cav1 and reduced lung-fibroblasts proliferation via miR-203/Cav2.	32694556
77	Mouse	circTbc1d20	circRNA	bisphenol A (BPA)	apoptosis	?GC-2 cells	bisphenol A (BPA) treatment	upregulated	31020848
78	Mouse	circTns3	circRNA	tanshinone IIA (Tan IIA)	atherosclerosis (AS)	RAW 264.7 cells	Tanshinone IIA (Tan) treatment	downregulated	32337768
79	Mouse	circUBE2K	circRNA	carbon tetrachloride (CCl4)	liver fibrosis	hepatic stellate cells (HSCs)	carbon tetrachloride (CCl4) treatment	upregulated	32308754
80	Mouse	circUCK2	circRNA	oxygen glucose deprivation (OGD)	ischemic stroke (IS)	HT-22 cells	oxygen-and-glucose-deprivation (OGD) treatment	Overexpression of circRNA circUCK2 Attenuates Cell Apoptosis in Cerebral Ischemia-Reperfusion Injury via miR-125b-5p/GDF11 Signaling	33230465
81	Mouse	circWBSCR17	circRNA	streptozocin (STZ)	diabetic nephropathy (DN)	kidney cortex tissues	streptozotocin (STZ) treatment	upregulated	32798559
82	Mouse	circWdr91	circRNA	tanshinone IIA (Tan IIA)	atherosclerosis (AS)	RAW 264.7 cells	Tanshinone IIA (Tan) treatment	downregulated	32337768
83	Mouse	circWwp1	circRNA	isoproterenol hydrochloride	cardiac hypertrophy	left ventricular specimens	isoproterenol hydrochloride treatment	downregulated	32023551
84	Mouse	circZC3H4	circRNA	silicon dioxide (SiO2)	lung fibrosis	RAW264.7 cells	silicon dioxide (SiO2) treatment	upregulated	29401612
85	Mouse	circZNF609	circRNA	adriamycin (ADR)	focal segmental glomerulosclerosis (FSGS)	kidney tissues	adriamycin (ADR) treatment	upregulated	32800553
86	Mouse	mmu_circ_0000038	circRNA	Japanese encephalitis virus (JEV)	Japanese encephalitis virus (JEV) infection	brain tissues; BV2 cells	Japanese encephalitis virus (JEV) infection	upregulated	32552669
87	Mouse	mmu_circ_0000120	circRNA	TGF-¦Â1	cardiac fibrosis	cardiac fibroblasts	TGF-¦Â1 treatment	upregulated	32062386
88	Mouse	mmu_circ_0000220	circRNA	Japanese encephalitis virus (JEV)	Japanese encephalitis virus (JEV) infection	brain tissues; BV2 cells	Japanese encephalitis virus (JEV) infection	upregulated	32552669
89	Mouse	mmu_circ_0000372	circRNA	high glucose (HG)	diabetic nephropathy (DN)	Mouse primary kidney GEC (C57-6014G) and mouse glomerular mesangial cells (GMC) (SV40 MES 13) and derived exosomes	high glucose (HG) treatment	downregulated	31497190
90	Mouse	mmu_circ_0000455	circRNA	house dust mite (HDM)	allergic asthma (AA)	lung tissues	house dust mite allergen treatment	upregulated	33173985
91	Mouse	mmu_circ_0000468	circRNA	"1-methyl-4-phenyl-1,2,3,6-tetrahydropyridine (MPTP)"	parkinson's disease (PD)	Parkinson's disease (PD) group	"1-methyl-4-phenyl-1,2,3,6- tetrahydropyridine (MPTP) treatment"	downregulated	32344560
92	Mouse	mmu_circ_0000491	circRNA	high glucose (HG)	diabetic nephropathy (DN)	mouse mesangial cells (MES13 cells)	high glucose (HG) treatment	circ_0000491 aggravates the extracellular matrix of diabetic nephropathy glomerular mesangial cells through suppressing miR-101b by targeting TGF¦ÂRI.	32901868
93	Mouse	mmu_circ_0000505	circRNA	high glucose (HG)	diabetic nephropathy (DN)	Mouse primary kidney GEC (C57-6014G) and mouse glomerular mesangial cells (GMC) (SV40 MES 13) and derived exosomes	high glucose (HG) treatment	downregulated	31497190
94	Mouse	mmu_circ_0000512	circRNA	TGF-¦Â1	cardiac fibrosis	cardiac fibroblasts	TGF-¦Â2 treatment	upregulated	32062386
95	Mouse	mmu_circ_0000517	circRNA	"1-methyl-4-phenyl-1,2,3,6-tetrahydropyridine (MPTP)"	parkinson's disease (PD)	striatum (ST)	"1-methyl-4-phenyl-1,2,3,6- tetrahydropyridine (MPTP) treatment"	upregulated	32344560
96	Mouse	mmu_circ_0000623	circRNA	carbon tetrachloride (CCl4)	liver fibrosis	hepatic tissue	carbon tetrachloride (CCl4) treatment	mmu_circ_0000623 expression was downregulated in CCl4-induced mice.	32633558
97	Mouse	mmu_circ_0000629	circRNA	house dust mite (HDM)	allergic asthma (AA)	lung tissues	house dust mite allergen treatment	upregulated	33173985
98	Mouse	mmu_circ_0000668	circRNA	oxygen	retinopathy of prematurity (ROP)	retinas tissue	"For OIR model construction, 7-day-old mice and their nursing mothers were maintained in 75% oxygen for 5 continuous days. On postnatal day (P) 12, the pups were returned to normoxic air and kept with their mothers for another 5 days. treatment"	predicted to be ceRNAs that regulate angiogenesis-associated coding genes in ROP by competing with miR-203-3p	31452702
99	Mouse	mmu_circ_0000723	circRNA	house dust mite (HDM)	allergic asthma (AA)	lung tissues	house dust mite allergen treatment	downregulated	33173985
100	Mouse	mmu_circ_0000790	circRNA	hypoxia	hypoxic pulmonary hypertension (HPH)	pulmonary artery smooth muscle cells (PASMCs)	hypoxic treatment	mmu_circ_0000790 Is Involved in Pulmonary Vascular Remodeling in Mice with HPH via MicroRNA-374c-Mediated FOXC1.	32199127
101	Mouse	mmu_circ_0000870	circRNA	"1-methyl-4-phenyl-1,2,3,6-tetrahydropyridine (MPTP)"	parkinson's disease (PD)	striatum (ST)	"1-methyl-4-phenyl-1,2,3,6- tetrahydropyridine (MPTP) treatment"	downregulated	32344560
102	Mouse	mmu_circ_0000981	circRNA	atractylon (Atr)	asthma	asthma mouse lung tissues; TGF-¦Â1-treated TC-1 cells	atractylon (Atr)?treatment	Atr treatment suppressed OVA-induced circRNA-0000981 and TGFBR2 expression but promoted miR-211-5p expression.	33855682
103	Mouse	mmu_circ_0000981	circRNA	ovalbumin (OVA)	asthma	lung tissues	ovalbumin (OVA) treatment	upregulated	33855682
104	Mouse	mmu_circ_0000981	circRNA	TGF-¦Â1	asthma	TC-1 cells	TGF-¦Â1 treatment	upregulated	33855682
105	Mouse	mmu_circ_0001066	circRNA	bisphosphonates (BPs)	osteoclastogenesis	RAW264.7 cells	bisphosphonates (BPs) treatment	Four MRONJ-related miRNAs were upregulated in BP-treated RAW264.7 cells and the expression of mmu_circ_0001066 was negatively correlated with those of MRONJ-related miRNAs.	33837656
106	Mouse	mmu_circ_0001204	circRNA	TGF-¦Â1	cardiac fibrosis	cardiac fibroblasts	TGF-¦Â3 treatment	upregulated	32062386
107	Mouse	mmu_circ_0001223	circRNA	panax notoginseng saponins (SLPN)	depression	mouse ventral medial prefrontal cortex (VMPC)	panax notoginseng saponins (SLPN) treatment	"mmu_circ_0001223 expression was greatly decreased in CUMS mice, but significantly elevated by SLPN treatment"	30298999
108	Mouse	mmu_circ_0001320	circRNA	"1-methyl-4-phenyl-1,2,3,6-tetrahydropyridine (MPTP)"	parkinson's disease (PD)	Parkinson's disease (PD) group	"1-methyl-4-phenyl-1,2,3,6- tetrahydropyridine (MPTP) treatment"	upregulated	32344560
109	Mouse	mmu_circ_0001336	circRNA	ischemia/reperfusion (I/R) 	myocardial ischemia/reperfusion (I/R) injury (MIRI)	cardiac extracellular vesicles (EVs)	ischemia/reperfusion (I/R) treatment	dysregulated	31466885
110	Mouse	mmu_circ_0001359	circRNA	ovalbumin (OVA)	asthma	lung tissues	ovalbumin (OVA) treatment	upregulated	32018116
111	Mouse	mmu_circ_0001454	circRNA	house dust mite (HDM)	allergic asthma (AA)	lung tissues	house dust mite allergen treatment	downregulated	33173985
112	Mouse	mmu_circ_0001520	circRNA	concanamycin A (Con A)	autoimmune hepatitis (AIH)	liver tissues	concanavalin A (Con A) treatment	upregulated	32965791
113	Mouse	mmu_circ_0001605	circRNA	high glucose (HG)	diabetic nephropathy (DN)	Mouse primary kidney GEC (C57-6014G) and mouse glomerular mesangial cells (GMC) (SV40 MES 13) and derived exosomes	high glucose (HG) treatment	downregulated	31497190
114	Mouse	mmu_circ_0001632	circRNA	TGF-¦Â1	cardiac fibrosis	cardiac fibroblasts	TGF-¦Â6 treatment	downregulated	32062386
115	Mouse	mmu_circ_0001645	circRNA	TGF-¦Â1	cardiac fibrosis	cardiac fibroblasts	TGF-¦Â4 treatment	downregulated	32062386
116	Mouse	mmu_circ_000203	circRNA	angiotensin II (Ang II)	cardiac fibrosis	mouse cardiac fibroblasts	angiotensin II (Ang II) treatment	upregulated	28079129
117	Mouse	mmu_circ_000203	circRNA	angiotensin II (Ang II)	cardiac hypertrophy	neonatal mouse ventricular cardiomyocytes (NMVCs)	angiotensin II (Ang II) treatment	CircRNA_000203 was found to be upregulated in the myocardium of Ang-II-infused mice and in the cytoplasma of Ang-II-treated neonatal mouse ventricular cardiomyocytes (NMVCs).	31397837
118	Mouse	mmu_circ_0003292	circRNA	"1-methyl-4-phenyl-1,2,3,6-tetrahydropyridine (MPTP)"	parkinson's disease (PD)	striatum (ST)	"1-methyl-4-phenyl-1,2,3,6- tetrahydropyridine (MPTP) treatment"	downregulated	32344560
119	Mouse	mmu_circ_0003865	circRNA	melatonin	osteoporosis	human bone marrow mesenchymal stem cell (hBMSC)	melatonin (MEL) treatment	Circ_0003865 expression in BMSCs was significantly decreased by MEL treatment.	33632317
120	Mouse	mmu_circ_0004144	circRNA	"1-methyl-4-phenyl-1,2,3,6-tetrahydropyridine (MPTP)"	parkinson's disease (PD)	Parkinson's disease (PD) group	"1-methyl-4-phenyl-1,2,3,6- tetrahydropyridine (MPTP) treatment"	downregulated	32344560
121	Mouse	mmu_circ_0004158	circRNA	oxygen	retinopathy of prematurity (ROP)	retinas tissue	"For OIR model construction, 7-day-old mice and their nursing mothers were maintained in 75% oxygen for 5 continuous days. On postnatal day (P) 12, the pups were returned to normoxic air and kept with their mothers for another 5 days. treatment"	predicted to be ceRNAs that regulate angiogenesis-associated coding genes in ROP by competing with let-7k	31452702
122	Mouse	mmu_circ_0004646	circRNA	ischemia/reperfusion (I/R) 	acute kidney injury (AKI)	kidney tissues	ischemia/reperfusion (I/R) treatment	dysregulated	29245971
123	Mouse	mmu_circ_0005324	circRNA	oxygen	retinopathy of prematurity (ROP)	retinas tissue	"For OIR model construction, 7-day-old mice and their nursing mothers were maintained in 75% oxygen for 5 continuous days. On postnatal day (P) 12, the pups were returned to normoxic air and kept with their mothers for another 5 days. treatment"	predicted to be ceRNAs that regulate angiogenesis-associated coding genes in ROP by competing with let-7k	31452702
124	Mouse	mmu_circ_0005477	circRNA	oxygen	retinopathy of prematurity (ROP)	retinas tissue	"For OIR model construction, 7-day-old mice and their nursing mothers were maintained in 75% oxygen for 5 continuous days. On postnatal day (P) 12, the pups were returned to normoxic air and kept with their mothers for another 5 days. treatment"	predicted to be ceRNAs that regulate angiogenesis-associated coding genes in ROP by competing with miR-203-3p and miR-5128	31452702
