ID	Species	ncRNA	ncRNA type	Environmental factor (EF)	Phenotype	Sample	Condition of EF	Evidence	PubMed ID
17	Human	circANKRD36	circRNA	IL-1¦Â	osteoarthritis (OA)	human chondrocytes	IL-1¦Â treatment	circANKRD36 sponge miR-599 to up-regulate the expression of Casz1 and thus prevent apoptosis and inflammation in OA.	33205602
18	Human	circANKRD36	circRNA	lipopolysaccharide (LPS)	pneumonia	MRC-5 cells	lipopolysaccharide (LPS) treatment	LPS irritation raised the level of circANKRD36 in MRC-5 cells.	31793082
19	Human	circANKRD36	circRNA	sepsis	pneumonia	human embryonic lung fibroblast MRC-5 cell	human embryonic lung fibroblast MRC-5 cell injury irritated by lipopolysaccharide (LPS) treatment	"LPS aroused a decrease in viability, increases in apoptosis, ROS, and IL-6, IL-8, and TNF-¦Á, along with circANKRD36, and activation of NF-¦ÊB pathway Silencing circANKRD36 weakened the above-mentioned influences of LPS"	31793082
20	Human	circANRIL	circRNA	oxygen-glucose deprivation and reoxygenation (OGD/R)	cerebral ischemia/reperfusion (I/R) injury	human brain microvascular endothelial cells (HBMECs)	oxygen-glucose deprivation and reoxygenation (OGD/R) treatment	"The expression of circ_ANRIL in OGD/R-induced human brain microvascular endothelial cells (HBMECs) was significantly upregulated, while that of miR-622 was significantly downregulated"	32616043
21	Human	circANRIL	circRNA	lipopolysaccharide (LPS)	inflammation	HK-2 cells	lipopolysaccharides (LPS) treatment	upregulated	31432701
22	Human	circARF3	circRNA	tumor necrosis factor alpha (TNF-¦Á) 	encephalitis	SH-SY5Y cells	tumor necrosis factor alpha (TNF-¦Á) treatment	TNF-¦Á inducement also markedly reduced circARF3 expression.	32329660
23	Human	circARL3	circRNA	hepatitis B virus (HBV)	hepatocellular carcinoma (HCC)	HCC tissues	hepatitis B virus (HBV) infection	upregulated	33372396
24	Human	circATP2B4	circRNA	hypoxia	pulmonary arterial hypertension (PAH)	pulmonary arterial smooth muscle cells (PASMCs)	hypoxia treatment	CircATP2B4 potentiated hypoxia-induced proliferation and migration of PASMCs through the miR-223/ATR axis.	32926932
25	Human	circAtp9b	circRNA	lipopolysaccharide (LPS)	inflammation	MRC-5 cells	lipopolysaccharide (LPS) treatment	LPS triggered adverse inflammation response by elevating the biogenesis of circAtp9b which caused a repressive role in miR-27a expression.	31735661
26	Human	circAtp9b	circRNA	lipopolysaccharide (LPS)	pneumonia	MRC-5 cells	lipopolysaccharide (LPS) treatment	LPS triggered adverse inflammation response by elevating the biogenesis of circAtp9b which caused a repressive role in miR-27a expression.	31735661
27	Human	circBCRC4	circRNA	gambogic acid (GA)	bladder cancer	T24T and UMUC3 cells	Gallic acid (GA) treatment	upregulated	29270748
28	Human	circBPTF	circRNA	high glucose (HG)	endothelial dysfunction	human umbilical vein endothelial cells (HUVECs)	high glucose (HG) treatment	CircBPTF knockdown protected against HG-induced inflammatory injuries and oxidative stress by mediating the miR-384/LIN28B axis in HUVECs.	32524321
29	Human	circCamk4	circRNA	oxygen-glucose deprivation and reoxygenation (OGD/R)	cerebral ischemia/reperfusion (I/R) injury	SH-SY5Y Cells	oxygen-glucose deprivation and reoxygenation (OGD/R) treatment	circ-camk4 (hsa-circ-camk4) are elevated in SH-SY5Y cells exposed to OGD/R treatment	32332879
30	Human	circCCDC66	circRNA	oxaliplatin	colorectal cancer (CRC)	HCT116 cells; HT-29 cells	oxaliplatin (OXA) treatment	circCCDC66 is elevated in colorectal cancer cells with resistance to oxaliplatin	32187976
31	Human	circCCDC66	circRNA	oxaliplatin	colorectal cancer (CRC)	HCT116 cells; HT-29 cells	oxaliplatin treatment	circCCDC66 is elevated in colorectal cancer cells with resistance to oxaliplatin	32187976
32	Human	circCDK8	circRNA	CoCl2	periodontitis	human Periodontal ligament stem cells (PDLSCs)	CoCl2 treatment	upregulated	32978798
33	Human	circCDR1as	circRNA	cisplatin (DDP)	bladder cancer	"human bladder cancer cell lines TCCSUP, 5367, T24 and EJ"	cisplatin treatment	Cdr1as induced the apoptosis and enhanced the cisplatin chemosensitivity of bladder cancer cells both in vitro and in vivo.	31131537
34	Human	circCDR1as	circRNA	3-methyladenine (3-MA)	oral squamous cell carcinoma (OSCC)	Tca-8113 cells	3-Methyladenine (3-MA) treatment	upregulated	31582727
35	Human	circCDR1as	circRNA	hypoxia	oral squamous cell carcinoma (OSCC)	Tca-8113 cells	hypoxia induce	upregulated	31582727
36	Human	circCDR1as	circRNA	rapamycin	oral squamous cell carcinoma (OSCC)	Tca-8113 cells	rapamycin treatment	upregulated	31582727
37	Human	circCDR1as	circRNA	steroids	osteonecrosis of femoral head (ONFH)	bone marrow mesenchymal stem cells (BMSCs)	steroid treatment	upregulated	32018039
38	Human	circCDR1as	circRNA	cisplatin (DDP)	ovarian cancer (OC)	Human ovarian cancer cell lines (A2780 and SKOV-3)	cisplatin treatment	there was a decreasing trend in Cdr1as levels from normal ovarian tissues to cisplatinsensitive ovarian cancer tissues and then to cisplatin-resistant ovarian cancer tissues. Cdr1as Enhances the Cisplatin Chemosensitivity of Ovarian Cancer In Vitro.	31479922
39	Human	circCDR1as	circRNA	lipopolysaccharide (LPS)	periodontitis	Human periodontal ligament cells (PDLCs)	lipopolysaccharide (LPS) treatment	"CDR1as was significantly downregulated in LPS-treated PDLSCs compared to untreated cells, as well as in normal periodontal ligament tissues compared to periodontitis tissues."	31582895
40	Human	circCDR1as	circRNA	hypoxia	pulmonary hypertension (PH)	Human pulmonary artery smooth muscle cell (HPASMC)	hypoxia treatment	CDR1as/miR-7-5p/CNN3 and CAMK2D regulatory axis mediates HPASMC osteoblastic differentiation and calcification induced by hypoxia.	33230455
41	Human	circCDR1as	circRNA	silica	silicosis	HBE cells; A549 cells	silica treatment	The increase of circRNA CDR1as was observed after treatment of silica	30202956
42	Human	circCHFR	circRNA	oxidized low density lipoprotein (ox-LDL)	atherosclerosis (AS)	human vascular smooth muscle cells (VSMCs)	oxidized low-density lipoprotein (ox-LDL) treatment	Circ_CHFR contributed to the progression of AS through the miR-214-3p/Wnt3/¦Â-catenin signals.	32271446
43	Human	circChr19	circRNA	ebola virus (EBOV)	Ebola virus (EBOV) therapy	293T cells	EBOV treatment	upregulated	29209594
44	Human	circCIDN	circRNA	compression force (CF)	intervertebral disc degeneration (IDD)	nucleus pulposus (NP) cells	compression treatment	CircRNA-CIDN was significantly downregulated in compression-treated human NP cells.	32114390
45	Human	circCILinc02	circRNA	methylene blue (MB)	osteoarthritis (OA)	chondrocytes	methylene blue treatment	CILinc02 was increased in primary cells of OA but was reduced in primary OA cells treated with MB.	30548658
46	Human	circCircNFIX	circRNA	temozolomide (TMZ)	glioblastoma multiforme (GBM)	LN229 cells; U251 cells	temozolomide (TMZ) treatment	Exosome-mediated transfer of circRNA CircNFIX enhances temozolomide resistance in glioma	32194140
47	Human	circCLASP2	circRNA	high glucose (HG)	diabetic-associated vascular injury	Human umbilical vein endothelial cells (HUVECs)	high-glucose (HG) treatment	High glucose (HG) exposure downregulated the expression of circ_CLASP2 in HUVECs	33776760
48	Human	circCOG8	circRNA	mechanical stress	intervertebral disc degeneration (IDD)	NP cells	mechanical stress treatment	circCOG8 expression was obviously downregulated by the mechanical stress in disk NP cells.	33195225
49	Human	circCOL1A2	circRNA	high glucose (HG)	diabetic retinopathy (DR)	human retinal microvascular endothelial cells (hRMECs)	high glucose (HG) treatment	Circular RNA COL1A2 promotes angiogenesis via regulating miR-29b/VEGF axis in diabetic retinopathy.	32497630
50	Human	circDHRS3	circRNA	IL-1¦Â	osteoarthritis (OA)	human chondrocytes	IL-1¦Â treatment	Circ_DHRS3 expression was elevated in OA cartilage tissues and IL-1¦Â-treated chondrocytes.	33360372
51	Human	circDHRS3	circRNA	IL-1¦Â	osteoarthritis (OA)	chondrocytes	IL-1¦Â treatment	Circ_DHRS3 expression was elevated in OA cartilage tissues and IL-1¦Â-treated chondrocytes.	33360372
52	Human	circDLGAP4	circRNA	hypoxia	ischemia/reperfusion (I/R) injury	Human umbilical vein endothelial cells (HUVECs)	hypoxia induce	downregulated	31607223
53	Human	circDLGAP4	circRNA	"1-methyl-4-phenyl-1,2,3,6-tetrahydropyridine (MPTP)"	parkinson's disease (PD)	Human neuroblastoma cell line SH-SY5Y	"1-methyl-4-phenyl-1,2,3,6- tetrahydropyridine (MPTP) treatment"	circDLGAP4 expression was decreased in MPTP-induced PD mouse model and MPP+-induced PD cell models.	31761328
54	Human	circDLGAP4	circRNA	1-methyl-4-phenylpyridinium (MPP+)	parkinson's disease (PD)	SH-SY5Y Cells	1-methyl-4-phenylpyridinium (MPP+) treatment	circDLGAP4 expression was decreased in MPP+-induced PD cell models.	31761328
55	Human	circDNMT3B	circRNA	high glucose (HG)	diabetic retinopathy (DR)	human retinal microvascular endothelial cells (HRMECs)	High Glucose (HG) treatment	downregulated	31636010
56	Human	circDONSON	circRNA	cisplatin (DDP)	gastric cancer (GC)	AGS cells; HGC cells	cisplatin treatment	circDONSON promoted cisplatin resistance in gastric cancer cells by regulating miR-802/BMI1 axis.	32581651
57	Human	circDROSHA	circRNA	magnesium-free extracellular fluid	temporal lobe epilepsy (TLE)	SK-N-SH cells; IMR-32 cells	magnesium-free extracellular solution	downregulated	33370579
58	Human	circDYM	circRNA	repetitive transcranial magnetic stimulation (rTMS)	breast cancer	plasma	repetitive transcranial magnetic stimulation (rTMS) treatment	circDYM expression was upregulated after rTMS treatment	32663980
59	Human	circERCC2	circRNA	tert-butyl hydroperoxide (TBHP)	intervertebral disc degeneration (IDD)	nucleus pulposus cells (NPCs)	tert-butyl hydroperoxide (TBHP) treatment	downregulated	31582722
60	Human	circFAM172A	circRNA	5-fluorouracil (5-Fu)	osteosarcoma (OS)	MG63 cells	5-fluorouracil (5-FU) treatment	upregulated	33308021
61	Human	circFANCA	circRNA	lipopolysaccharide (LPS)	acute kidney injury (AKI)	Human renal proximal tubular cell line HK-2	lipopolysaccharide (LPS) treatment	Circ-FANCA was upregulated in septic AKI serum specimens and LPS-treated HK2 cells.	33468219
62	Human	circFBXW7	circRNA	oxaliplatin	colorectal cancer (CRC)	SW480 cells; HCT116 cells; colorectal cancer (CRC) tissues	oxaliplatin treatment	circ-FBXW7 was measured and results showed circ-FBXW7 was lower in oxaliplatin-resistant CRC patients and resistant CRC cells than that in controls	33147048
63	Human	circFLNA	circRNA	fucoidan	oral squamous cell carcinoma (OSCC)	SCC15 cells; SCC25 cells	fucoidan treatment	upregulated	31495936
64	Human	circFLNA	circRNA	fucoidan	oral squamous cell carcinoma (OSCC)	Human tongue squamous carcinoma cells (SCC15 and SCC25)	fucoidan treatment	upregulated	31495936
65	Human	circFN1	circRNA	cisplatin (DDP)	gastric cancer (GC)	SGC7901 cells; BGC823C cells	cisplatin treatment	circFN1 enhances cisplatin resistance in gastric cancer via sponging miR-182-5p.	31898357
66	Human	circFOXM1	circRNA	naringenin	lung cancer	A549 cells; PC9 cells	naringenin treatment	Naringenin hindered cell metastasis in vitro and tumor growth in vivo by reducing circFOXM1 and SPAG5 expression and inducing the expression of miR-3619-5p in lung cancer.	32598178
67	Human	circGCN1L1	circRNA	tumor necrosis factor alpha (TNF-¦Á) 	temporomandibular joint osteoarthritis	synoviocyte	tumor necrosis factor alpha (TNF-¦Á) treatment	upregulated	32332704
68	Human	circGRN	circRNA	oxidized low density lipoprotein (ox-LDL)	atherosclerosis (AS)	human vascular smooth muscle cells (HVSMCs)	oxidized low-density lipoprotein (ox-LDL) treatment	"In this study, we found that circ_GRN was elevated in the serum of AS and oxidized low-density lipoprotein (ox-LDL)-induced HVSMCs."	33818550
69	Human	circHDAC9	circRNA	amyloid-¦Â (A¦Â) 42	Alzheimer's disease (AD)	HN cells	amyloid-¦Â (A¦Â) 42 treatment	Berberine attenuates A¦Â42-induced neuronal damage through regulating circHDAC9/miR-142-5p axis in human neuronal cells	32251633
70	Human	circHECTD1	circRNA	silicon dioxide (SiO2)	macrophage activation	Primary cultures of alveolar macrophages from healthy donors and patients	silicon dioxide (SiO2) treatment	downregulated	29290828
71	Human	circHECTD1	circRNA	SiO2	silicosis	HPF-a cells	SiO2 treatment	"After exposure to SiO2, the circHECTD1 level was decreased, which was associated with an increase in HECTD1 in HPF-a cells SiO2-induced autophagy was reversed by either circHECTD1 overexpression or HECTD1 knockdown in HPF-a cells"	31832126
72	Human	circHIAT1	circRNA	baicalin (BAI)	cervical cancer (CC)	Human CC cell lines (HeLa and SiHa)	baicalin (BAI) treatment	upregulated	33603395
73	Human	circHIPK3	circRNA	platelet-derived growth factor (PDGF)	airway remodeling	airway smooth muscle cells (ASMCs)	platelet-derived growth factor (PDGF) treatment	circHIPK3 was significantly upregulated in platelet-derived growth factor (PDGF) induced ASMCs	32450169
74	Human	circHIPK3	circRNA	oxidized low density lipoprotein (ox-LDL)	atherosclerosis (AS)	human umbilical vein endothelial cells (HUVECs)	oxidized low-density lipoprotein (ox-LDL) treatment	The expression of circHIPK3 was downregulated in ox-LDL treated HUVECs.	33378035
75	Human	circHIPK3	circRNA	H2O2	cytotoxicity	OB-6 cells	Hydrogen peroxide (H2O2) treatment	downregulated	31955154
76	Human	circHIPK3	circRNA	oleic acid (OA)	diabetes-associated metabolic disorders	HepG2 cells	oleate treatment	circHIPK3 contributes to hyperglycemia and insulin resistance by sponging miR-192-5p and up-regulating FOXO1.	31875589
77	Human	circHIPK3	circRNA	high glucose (HG)	diabetic nephropathy (DN)	HK-2 cells	high glucose (HG) treatment	Expression level of circHIPK3 in HK-2 cells was remarkably decreased after the treatment of HG.	33628038
78	Human	circHIPK3	circRNA	temozolomide (TMZ)	glioblastoma multiforme (GBM)	A172 cells; U251 cells	temozolomide (TMZ) treatment	"Circ-HIPK3 was obviously increased in TMZ-resistant glioma cells and their exosomes, miR-421, was downregulated in TMZ-resistant glioma"	32644821
79	Human	circHIPK3	circRNA	oleic acid (OA)	hyperglycemia and insulin resistance	HepG2 cells	oleate treatment	upregulated	31875589
80	Human	circHIPK3	circRNA	oxygen-glucose deprivation and reoxygenation (OGD/R)	myocardial ischemia/reperfusion (I/R) injury (MIRI)	Human-derived cardiomyocytes HCM	oxygen-glucose deprivation and reoxygenation (OGD/R) treatment	CircHIPK3 was highly expressed in HCM cells with simulated myocardial I/R relative to those with normoxic treatment	31799682
81	Human	circHIPK3	circRNA	dexamethasone (DEX)	osteoblast injury	OB-6 osteoblastic cells and primary human osteoblasts	dexamethasone (DEX) treatment	circHIPK3 expression was downregulated in DEX-treated human osteoblasts and circHIPK3 levels decreased in human necrotic femoral head tissues. In OB-6 osteoblastic cells and primary human osteoblasts ectopic overexpression of circHIPK3 potently suppressed DEX-induced apoptosis and programmed necrosis.	31242973
82	Human	circHIPK3	circRNA	gemcitabine (GEM)	pancreatic cancer (PC)	Pancreatic cancer tissues; PANC-1 cells; SW-1990 cells	Gemcitabine (GEM) treatment	circHIPK3 was also increased in GEM-resistant PC tumors tissues and GEM-resistant PC cells.	32104074
83	Human	circHIPK3	circRNA	CoCl2	spinal cord injury (SCI)	AGE1.HN	CoCl2 treatment	circ-HIPK3 relieves the neuronal cell apoptosis through regulating miR-588/DPYSL5 axis in SCI.	32247616
84	Human	circHIPK3	circRNA	CoCl2	spinal cord injury (SCI)	AGE1.HN cells	?CoCl2 treatment	Circ_HIPK3 expression was inhibited by CoCl2?in AGE1.HN cells.	33770577
85	Human	circHIPK3	circRNA	high glucose (HG)	vascular injury	human umbilical vein endothelial cells (HUVECs)	high glucose (HG) treatment	downregulated	30454897
86	Human	circHMGCS1	circRNA	sevoflurane (SEV)	colorectal cancer (CRC)	SW480 cells; LOVO cells	sevoflurane treatment	sevoflurane inhibited colon cancer progression by modulating the exosome-transmitted circ-HMGCS1/miR-34a-5p/SGPP1 axis	33125091
87	Human	circINO80	circRNA	Nel-like molecule type 1 (NELL-1)	osteogenesis	human adipose-derived stem cells (hASCs)	"recombinant nel-like molecule, type 1 (NELL-1) treatment"	upregulated	31633307
88	Human	circIQGAP1	circRNA	IL-1¦Â	osteoarthritis (OA)	CHON-001 cells	IL-1¦Â treatment	"Circ-IQGAP1 abundance was enhanced in the cartilage tissues from OA patients compared with normal subjects (n = 32), and its expression was increased in CHON-001 cells after treatment of IL-1¦Â in a dose-dependent pattern."	33675175
89	Human	circITCH	circRNA	doxorubicin (DOX)	doxorubicin (DOX)-induced cardiotoxicity	human-induced pluripotent stem cell-derived cardiomyocytes (hiPSC-CMs)	doxorubicin treatment	"The Tumor-Suppressive Human Circular RNA CircITCH Sponges miR-330-5p to Ameliorate Doxorubicin-Induced Cardiotoxicity Through Upregulating SIRT6, Survivin, and SERCA2a"	32392088
90	Human	circITCH	circRNA	lidocaine	hepatocellular carcinoma (HCC)	HCC cells	?lidocaine treatment	"circ_ITCH and CPEB3 levels were decreased in hepatocellular carcinoma tissues and cells, and were restored in cells via lidocaine treatment"	33433806
91	Human	circLARP4	circRNA	cisplatin (DDP)	osteosarcoma (OS)	MG63 cells	cisplatin treatment	"Circ-LARP4 high expression correlates with decreased Enneking stage and prolonged survival profiles, and it elevates chemosensitivity to cisplatin and doxorubicin via sponging miR-424 in osteosarcoma."	31642110
92	Human	circLARP4	circRNA	cisplatin and doxorubicin	osteosarcoma (OS)	MG63 cells	cisplatin and doxorubicin treatment	"Circular RNA LARP4 correlates with decreased Enneking stage, better histological response, and prolonged survival profiles, and it elevates chemosensitivity to cisplatin and doxorubicin via sponging microRNA-424 in osteosarcoma."	31642110
93	Human	circLARP4	circRNA	doxorubicin (DOX)	osteosarcoma (OS)	MG63 cells	doxorubicin treatment	"Circ-LARP4 high expression correlates with decreased Enneking stage and prolonged survival profiles, and it elevates chemosensitivity to cisplatin and doxorubicin via sponging miR-424 in osteosarcoma."	31642110
94	Human	circLRP6	circRNA	arsenite	arsenite-induced carcinogenesis	human keratinocyte (HaCaT) cells	arsenite exposure	upregulated	29216394
95	Human	circMCTP2	circRNA	cisplatin (DDP)	gastric cancer (GC)	BGC823	cisplatin (DPP) treatment	CircMCTP2 sensitizes GC to CDDP through the upregulation of MTMR3 by sponging miR-99a-5p.	33198772
96	Human	circMTHFD2	circRNA	pemetrexed	gastric cancer (GC)	Human gastric cancer MGC-803 cells	pemetrexed (MTA) treatment	"Compared with MGC-803/MTA resistant cells, the drug resistance of cells increased significantly in circ MTHFD2 overexpression group"	31841184
97	Human	circMTO1	circRNA	TGF-¦Â1	liver fibrosis	LX©\2 cells	transforming growth factor-¦Â1 (TGF-¦Â1) treatment	downregulated	31148365
98	Human	circNFXL1_009	circRNA	hypoxia	pulmonary arterial hypertension (PAH)	human pulmonary arterial smooth muscle cells (hPASMCs)	hypoxia treatment	exposure to hypoxia markedly reduced the hsa_circNFXL1_009 level in cultured hPASMCs.	33614247
99	Human	circNRIP1	circRNA	hypoxia	gastric cancer (GC)	SGC-7901; AGS; MKN-45; BGC-823	hypoxia treatment	upregulated	32425596
100	Human	circNSUN2	circRNA	aloperine	colorectal cancer (CRC)	SW480 and HT29 cells	aloperine treatment	downregulated	33664565
101	Human	circOSBPL2	circRNA	cigarette smoke extract (CSE)	chronic obstructive pulmonary disease (COPD)	human bronchial epithelial cells (HBECs)	cigarette smoke extract (CSE) treatment	"Circ-OSBPL2 was highly expressed in lung tissues of smokers without or with COPD, particularly in smokers with COPD."	33854310
102	Human	circPAN3	circRNA	doxorubicin (DOX)	acute myeloid leukemia (AML)	human AML cells THP-1 and K562	doxorubicin treatment	"circPAN3 is most likely a key mediator in the development of AML drug resistance, evidenced by the increased expression in ADM-resistant cell lines and BM samples from relapsed patients."	31401408
103	Human	circPHC3	circRNA	oxygen glucose deprivation (OGD)	ischemic stroke (IS)	human brain microvascular endothelial cells (BMECs)	oxygen glucose deprivation (OGD) treatment	CircPHC3 was highly expressed in human BMECs after OGD	33519202
104	Human	circPostn	circRNA	hypoxia/reoxygenation (H/R)	myocardial infarction (MI)	human cardiomyocytes	hypoxia and reoxygenation (H/R) treatment	"We identified that the expression of circPostn was elevated in the plasma of MI patients, MI mouse model, and hypoxia and reoxygenation (H/R)-treated human cardiomyocytes."	33681183
105	Human	circPRKCA	circRNA	curcumin (Cur)	non-small cell lung cancer (NSCLC)	"NSCLC cells (H1650, H1299, H460, A549)"	curcumin treatment	"After curcumin treatment, the expression tendency of circ-PRKCA, miR-384, and ITGB1 in NSCLC cells was overturned."	33684690
106	Human	circPRKCB	circRNA	hypoxia/reoxygenation (H/R)	intestinal ischemia/reperfusion (I/R) injury	Caco-2 cells	hypoxia/reoxygenation (H/R) treatment	circ-PRKCB/miR-339-5p/p66Shc signaling pathway in regulating oxidative stress in the I/R intestine.	32929374
107	Human	circPRKCI	circRNA	lipopolysaccharide (LPS)	HK-2 cells injury	HK-2 cells	Lipopolysaccharide (LPS) treatment	highly expressed circPRKCI relieved inflammatory injury induced by LPS in HK2 cells by suppressing miR-545/ZEBs and depressing the briskness of NF-kB pathway.	32104945
108	Human	circPRKCI	circRNA	H2O2	oxidative stress	SH-SY5Y neuronal cells	H2O2 treatment	downregulated	31053300
109	Human	circPRMT5	circRNA	cisplatin (DDP)	non-small cell lung cancer (NSCLC)	A549 cells; H460 cells	cisplatin treatment	Circ-PRMT5 promoted DDP resistance via REV3L by sponging miR-4458 in NSCLC	32808744
110	Human	circPTPRA	circRNA	oxidized low density lipoprotein (ox-LDL)	atherosclerosis (AS)	Human vascular smooth muscle cell line (VSMCs)	oxidized low-density lipoprotein (ox-LDL) treatment	upregulated	33336764
111	Human	circPUM1	circRNA	insulin	polycystic ovarian syndrome (PCOS)	KGN cells; SVOG cells	insulin treatment	upregulated	32540374
112	Human	circPVT1	circRNA	paclitaxel (PTX)	gastric cancer (GC)	"Human GC tissues and tumor cell lines (MKN-45, HGC-27, MGC-803, and AGS)"	paclitaxel (PTX) treatment	circ-PVT1 expression was upregulated in PTX-resistant GC tissues and cells. Circ-PVT1 downregulated enhanced PTX sensitivity in PTX-resistant GC cells by negatively regulating miR-124-3p.	31793989
113	Human	circPVT1	circRNA	propofol (PPF)	gastric cancer (GC)	HGC-27 cells; AGS cells	Propofol treatment	"Propofol inhibited the proliferation and invasion, but enhanced the apoptosis of GC cells by regulating the circ-PVT1/miR-195-5p/ETS1 axis"	32945521
114	Human	circPVT1	circRNA	cisplatin and pemetrexed	lung adenocarcinoma (LUAD)	A549/DR cells	cisplatin and pemetrexed treatment	circPVT1 contributes to cisplatin and pemetrexed chemotherapy resistance through miR-145-5p/ABCC1 axis.	31986409
115	Human	circPWWP2A	circRNA	mycobacterium tuberculosis (Mtb)	apoptosis	primary human monocyte-derived macrophages	Mycobacterium tuberculosis (MTB) infection	downregulated	31434611
116	Human	circPWWP2A	circRNA	dexamethasone (DEX)	cytotoxicity	DEX-treated human OB-6 osteoblastic cells	dexamethasone (Dex) treatment	cPWWP2A is downregulated in the necrotic femoral head tissues of DEX-taking human patients as well as in DEX-treated human osteoblasts. cPWWP2A silencing or forced miR-579 overexpression induced significant cytotoxicity in human osteoblasts.	31376935
117	Human	circPWWP2A	circRNA	lipopolysaccharide (LPS)	liver fibrosis	human HSC line LX2 cells	lipopolysaccharide (LPS) treatment	upregulated	31719209
118	Human	circPWWP2A	circRNA	TGF-¦Â	liver fibrosis	Human HSC line LX2 cells	TGF-¦Â treatment	upregulated	31719209
119	Human	circRACGAP1	circRNA	apatinib	advanced gastric cancers (AGCs)	BGC-823 and HGC-27	apatinib treatment	Silencing of circRACGAP1 sensitizes gastric cancer cells to apatinib via modulating autophagy by targeting miR-3657 and ATG7	32139670
120	Human	circRELL1	circRNA	oxidized low density lipoprotein (ox-LDL)	endothelial inflammation	human umbilical vein endothelial cells (HUVECs)	oxidized low-density lipoprotein (ox-LDL) treatment	circ-RELL1 modulate inflammatory response by miR-6873-3p/MyD88/NF-¦ÊB axis in ox-LDL induced endothelial cells.	33008595
121	Human	circRFWD2	circRNA	Nel-like molecule type 1 (NELL-1)	osteogenesis	human adipose-derived stem cells (hASCs)	recombinant nel-like molecule type 1 (NELL-1) treatment	upregulated	31633307
122	Human	circRHOT1	circRNA	propofol (PPF)	non-small cell lung cancer (NSCLC)	human bronchial epithelioid(16HBE)	Propofol treatment	"?Importantly, treatment with Propofol inhibited circ-RHOT1 expression in NSCLC cells"	33515563
123	Human	circRIMS2	circRNA	aerobic exercise	vascular cognitive impairment (VCI)	serum	aerobic exercise training (AET) treatment	"Aerobic exercise could shorten the average time that mice reached the platform in the Morris water maze, increase the expression level of circRIMS2 and BDNF, reduce miR-186 expression, and inhibit neuronal apoptosis."	33413076
